Types	Mut_burden
Biliary-AdenoCA	14900
Biliary-AdenoCA	5088
Biliary-AdenoCA	5923
Biliary-AdenoCA	12411
Biliary-AdenoCA	3456
Biliary-AdenoCA	11307
Biliary-AdenoCA	6562
Biliary-AdenoCA	9968
Biliary-AdenoCA	13310
Biliary-AdenoCA	12874
Biliary-AdenoCA	13809
Biliary-AdenoCA	12838
Biliary-AdenoCA	3499
Biliary-AdenoCA	8684
Biliary-AdenoCA	16421
Biliary-AdenoCA	1638
Biliary-AdenoCA	9764
Biliary-AdenoCA	3820
Biliary-AdenoCA	5819
Biliary-AdenoCA	8146
Biliary-AdenoCA	1481
Biliary-AdenoCA	3583
Biliary-AdenoCA	206529
Biliary-AdenoCA	9914
Biliary-AdenoCA	2681
Biliary-AdenoCA	3914
Biliary-AdenoCA	3781
Biliary-AdenoCA	3832
Biliary-AdenoCA	2503
Biliary-AdenoCA	8962
Biliary-AdenoCA	10105
Biliary-AdenoCA	5457
Biliary-AdenoCA	1628
Biliary-AdenoCA	3449
Biliary-AdenoCA	18009
Bladder-TCC	15354
Bladder-TCC	25212
Bladder-TCC	31114
Bladder-TCC	36432
Bladder-TCC	34116
Bladder-TCC	20222
Bladder-TCC	18936
Bladder-TCC	9910
Bladder-TCC	12531
Bladder-TCC	8970
Bladder-TCC	19689
Bladder-TCC	59185
Bladder-TCC	12575
Bladder-TCC	13451
Bladder-TCC	14030
Bladder-TCC	51896
Bladder-TCC	3451
Bladder-TCC	38004
Bladder-TCC	13331
Bladder-TCC	34842
Bladder-TCC	10131
Bladder-TCC	9621
Bladder-TCC	12007
Bone-Benign	1627
Bone-Benign	670
Bone-Benign	773
Bone-Benign	628
Bone-Benign	842
Bone-Benign	361
Bone-Benign	631
Bone-Benign	372
Bone-Benign	880
Bone-Benign	1062
Bone-Benign	737
Bone-Benign	1009
Bone-Benign	117
Bone-Benign	381
Bone-Benign	181
Bone-Benign	80
Bone-Epith	2810
Bone-Epith	5556
Bone-Epith	2561
Bone-Epith	1776
Bone-Epith	3740
Bone-Epith	1742
Bone-Epith	1547
Bone-Epith	1809
Bone-Epith	2665
Bone-Epith	1130
Bone-Epith	786
Bone-Osteosarc	1900
Bone-Osteosarc	4661
Bone-Osteosarc	2521
Bone-Osteosarc	7394
Bone-Osteosarc	1288
Bone-Osteosarc	5862
Bone-Osteosarc	2011
Bone-Osteosarc	9510
Bone-Osteosarc	4766
Bone-Osteosarc	3725
Bone-Osteosarc	3675
Bone-Osteosarc	5032
Bone-Osteosarc	9231
Bone-Osteosarc	2729
Bone-Osteosarc	1133
Bone-Osteosarc	2475
Bone-Osteosarc	2927
Bone-Osteosarc	5163
Bone-Osteosarc	1195
Bone-Osteosarc	3620
Bone-Osteosarc	1785
Bone-Osteosarc	2367
Bone-Osteosarc	6132
Bone-Osteosarc	14101
Bone-Osteosarc	2505
Bone-Osteosarc	1582
Bone-Osteosarc	6735
Bone-Osteosarc	5057
Bone-Osteosarc	5883
Bone-Osteosarc	2939
Bone-Osteosarc	6217
Bone-Osteosarc	9052
Bone-Osteosarc	6988
Bone-Osteosarc	2588
Bone-Osteosarc	4463
Bone-Osteosarc	1752
Bone-Osteosarc	3083
Bone-Osteosarc	414
Breast-AdenoCA	1929
Breast-AdenoCA	2500
Breast-AdenoCA	11020
Breast-AdenoCA	2117
Breast-AdenoCA	2538
Breast-AdenoCA	3967
Breast-AdenoCA	1493
Breast-AdenoCA	1843
Breast-AdenoCA	2707
Breast-AdenoCA	55654
Breast-AdenoCA	2300
Breast-AdenoCA	2998
Breast-AdenoCA	3169
Breast-AdenoCA	4655
Breast-AdenoCA	6879
Breast-AdenoCA	1961
Breast-AdenoCA	2240
Breast-AdenoCA	9242
Breast-AdenoCA	1255
Breast-AdenoCA	1892
Breast-AdenoCA	1203
Breast-AdenoCA	1712
Breast-AdenoCA	1942
Breast-AdenoCA	1673
Breast-AdenoCA	3289
Breast-AdenoCA	1785
Breast-AdenoCA	2546
Breast-AdenoCA	5791
Breast-AdenoCA	2850
Breast-AdenoCA	2055
Breast-AdenoCA	2062
Breast-AdenoCA	1500
Breast-AdenoCA	5449
Breast-AdenoCA	3107
Breast-AdenoCA	7599
Breast-AdenoCA	1775
Breast-AdenoCA	12716
Breast-AdenoCA	2405
Breast-AdenoCA	2028
Breast-AdenoCA	4363
Breast-AdenoCA	7616
Breast-AdenoCA	2951
Breast-AdenoCA	6676
Breast-AdenoCA	1742
Breast-AdenoCA	23237
Breast-AdenoCA	9003
Breast-AdenoCA	8476
Breast-AdenoCA	3547
Breast-AdenoCA	1863
Breast-AdenoCA	36115
Breast-AdenoCA	2998
Breast-AdenoCA	2310
Breast-AdenoCA	1993
Breast-AdenoCA	1335
Breast-AdenoCA	1484
Breast-AdenoCA	1621
Breast-AdenoCA	5903
Breast-AdenoCA	8178
Breast-AdenoCA	5730
Breast-AdenoCA	5234
Breast-AdenoCA	3650
Breast-AdenoCA	4439
Breast-AdenoCA	2046
Breast-AdenoCA	2845
Breast-AdenoCA	2303
Breast-AdenoCA	2643
Breast-AdenoCA	9804
Breast-AdenoCA	8646
Breast-AdenoCA	4167
Breast-AdenoCA	2867
Breast-AdenoCA	2628
Breast-AdenoCA	65065
Breast-AdenoCA	10361
Breast-AdenoCA	6115
Breast-AdenoCA	5909
Breast-AdenoCA	12000
Breast-AdenoCA	5122
Breast-AdenoCA	6788
Breast-AdenoCA	3327
Breast-AdenoCA	2032
Breast-AdenoCA	5938
Breast-AdenoCA	8974
Breast-AdenoCA	10328
Breast-AdenoCA	5746
Breast-AdenoCA	4916
Breast-AdenoCA	7174
Breast-AdenoCA	11161
Breast-AdenoCA	2493
Breast-AdenoCA	2108
Breast-AdenoCA	9847
Breast-AdenoCA	5190
Breast-AdenoCA	3266
Breast-AdenoCA	4580
Breast-AdenoCA	10544
Breast-AdenoCA	6647
Breast-AdenoCA	4623
Breast-AdenoCA	9037
Breast-AdenoCA	6442
Breast-AdenoCA	9946
Breast-AdenoCA	2899
Breast-AdenoCA	6379
Breast-AdenoCA	7871
Breast-AdenoCA	6730
Breast-AdenoCA	10048
Breast-AdenoCA	2670
Breast-AdenoCA	8434
Breast-AdenoCA	3930
Breast-AdenoCA	2883
Breast-AdenoCA	7376
Breast-AdenoCA	9227
Breast-AdenoCA	11559
Breast-AdenoCA	8813
Breast-AdenoCA	5097
Breast-AdenoCA	21978
Breast-AdenoCA	18803
Breast-AdenoCA	9473
Breast-AdenoCA	8909
Breast-AdenoCA	2445
Breast-AdenoCA	1735
Breast-AdenoCA	4223
Breast-AdenoCA	5441
Breast-AdenoCA	25730
Breast-AdenoCA	13369
Breast-AdenoCA	8206
Breast-AdenoCA	5890
Breast-AdenoCA	7566
Breast-AdenoCA	2186
Breast-AdenoCA	4192
Breast-AdenoCA	4253
Breast-AdenoCA	4541
Breast-AdenoCA	2037
Breast-AdenoCA	1237
Breast-AdenoCA	9084
Breast-AdenoCA	5341
Breast-AdenoCA	8572
Breast-AdenoCA	3972
Breast-AdenoCA	3200
Breast-AdenoCA	5989
Breast-AdenoCA	9305
Breast-AdenoCA	5450
Breast-AdenoCA	4489
Breast-AdenoCA	2320
Breast-AdenoCA	1956
Breast-AdenoCA	6818
Breast-AdenoCA	16453
Breast-AdenoCA	12274
Breast-AdenoCA	4271
Breast-AdenoCA	8066
Breast-AdenoCA	2054
Breast-AdenoCA	11794
Breast-AdenoCA	8785
Breast-AdenoCA	3600
Breast-AdenoCA	3585
Breast-AdenoCA	3847
Breast-AdenoCA	8393
Breast-AdenoCA	8690
Breast-AdenoCA	9916
Breast-AdenoCA	14273
Breast-AdenoCA	9312
Breast-AdenoCA	3122
Breast-AdenoCA	7388
Breast-AdenoCA	4439
Breast-AdenoCA	14769
Breast-AdenoCA	15024
Breast-AdenoCA	3890
Breast-AdenoCA	15804
Breast-AdenoCA	4520
Breast-AdenoCA	11119
Breast-AdenoCA	11830
Breast-AdenoCA	2041
Breast-AdenoCA	3646
Breast-AdenoCA	10077
Breast-AdenoCA	8446
Breast-AdenoCA	4571
Breast-AdenoCA	3445
Breast-AdenoCA	7844
Breast-AdenoCA	6857
Breast-AdenoCA	11946
Breast-AdenoCA	14761
Breast-AdenoCA	3175
Breast-AdenoCA	21520
Breast-AdenoCA	31634
Breast-AdenoCA	6243
Breast-AdenoCA	4452
Breast-AdenoCA	2342
Breast-AdenoCA	2800
Breast-AdenoCA	3654
Breast-AdenoCA	18109
Breast-AdenoCA	2791
Breast-AdenoCA	8351
Breast-AdenoCA	3846
Breast-AdenoCA	5004
Breast-AdenoCA	10898
Breast-AdenoCA	10286
Breast-AdenoCA	9593
Breast-AdenoCA	13609
Breast-AdenoCA	7809
Breast-AdenoCA	23022
Breast-DCIS	2114
Breast-DCIS	1768
Breast-DCIS	2133
Breast-LobularCA	2114
Breast-LobularCA	2903
Breast-LobularCA	2440
Breast-LobularCA	10260
Breast-LobularCA	1478
Breast-LobularCA	1803
Breast-LobularCA	1770
Breast-LobularCA	3003
Breast-LobularCA	5074
Breast-LobularCA	3301
Breast-LobularCA	16288
Breast-LobularCA	43929
Breast-LobularCA	2637
CNS-GBM	7719
CNS-GBM	7280
CNS-GBM	6750
CNS-GBM	3247
CNS-GBM	6661
CNS-GBM	7952
CNS-GBM	1746
CNS-GBM	8102
CNS-GBM	4420
CNS-GBM	6948
CNS-GBM	8189
CNS-GBM	5511
CNS-GBM	6940
CNS-GBM	6069
CNS-GBM	4918
CNS-GBM	10957
CNS-GBM	8219
CNS-GBM	11161
CNS-GBM	8484
CNS-GBM	8703
CNS-GBM	8425
CNS-GBM	8621
CNS-GBM	3530
CNS-GBM	10609
CNS-GBM	10020
CNS-GBM	5062
CNS-GBM	5699
CNS-GBM	3100
CNS-GBM	4171
CNS-GBM	5215
CNS-GBM	4957
CNS-GBM	7792
CNS-GBM	6028
CNS-GBM	11997
CNS-GBM	6148
CNS-GBM	7243
CNS-GBM	7153
CNS-GBM	6813
CNS-GBM	11281
CNS-GBM	245043
CNS-GBM	4957
CNS-Medullo	308
CNS-Medullo	1507
CNS-Medullo	4051
CNS-Medullo	2510
CNS-Medullo	1938
CNS-Medullo	653
CNS-Medullo	1729
CNS-Medullo	1349
CNS-Medullo	1436
CNS-Medullo	1119
CNS-Medullo	2850
CNS-Medullo	2484
CNS-Medullo	1496
CNS-Medullo	438
CNS-Medullo	2260
CNS-Medullo	572
CNS-Medullo	706
CNS-Medullo	938
CNS-Medullo	1151
CNS-Medullo	503
CNS-Medullo	443
CNS-Medullo	1603
CNS-Medullo	1112
CNS-Medullo	533
CNS-Medullo	1303
CNS-Medullo	769
CNS-Medullo	1428
CNS-Medullo	605
CNS-Medullo	1755
CNS-Medullo	3063
CNS-Medullo	838
CNS-Medullo	717
CNS-Medullo	118
CNS-Medullo	1509
CNS-Medullo	1049
CNS-Medullo	1941
CNS-Medullo	770
CNS-Medullo	970
CNS-Medullo	2655
CNS-Medullo	1124
CNS-Medullo	433
CNS-Medullo	337
CNS-Medullo	1272
CNS-Medullo	928
CNS-Medullo	5132
CNS-Medullo	1289
CNS-Medullo	537
CNS-Medullo	604
CNS-Medullo	1143
CNS-Medullo	596
CNS-Medullo	735
CNS-Medullo	1577
CNS-Medullo	1551
CNS-Medullo	292
CNS-Medullo	2317
CNS-Medullo	1686
CNS-Medullo	1140
CNS-Medullo	1548
CNS-Medullo	1242
CNS-Medullo	2732
CNS-Medullo	772
CNS-Medullo	656
CNS-Medullo	3323
CNS-Medullo	2601
CNS-Medullo	1032
CNS-Medullo	2676
CNS-Medullo	1748
CNS-Medullo	1109
CNS-Medullo	786
CNS-Medullo	621
CNS-Medullo	988
CNS-Medullo	1116
CNS-Medullo	402
CNS-Medullo	1078
CNS-Medullo	729
CNS-Medullo	417
CNS-Medullo	952
CNS-Medullo	348
CNS-Medullo	974
CNS-Medullo	790
CNS-Medullo	2273
