Signature_Name	Total_Mutaions
SBS96A	742
SBS96A	60
SBS96A	31
SBS96A	891
SBS96A	6026
SBS96A	2211
SBS96A	578
SBS96A	5139
SBS96A	3969
SBS96A	1539
SBS96A	444
SBS96A	654
SBS96A	579
SBS96A	588
SBS96A	366
SBS96A	1526
SBS96A	2205
SBS96A	681
SBS96A	229
SBS96A	1325
SBS96A	712
SBS96A	100
SBS96A	18
SBS96A	583
SBS96A	2621
SBS96A	714
SBS96A	125
SBS96A	730
SBS96A	7811
SBS96A	1438
SBS96A	774
SBS96A	7122
SBS96A	8614
SBS96A	1590
SBS96A	2258
SBS96A	2652
SBS96A	508
SBS96A	884
SBS96A	492
SBS96A	1417
SBS96A	311
SBS96A	970
SBS96A	90
SBS96A	155
SBS96A	440
SBS96A	186
SBS96A	184
SBS96A	1456
SBS96A	3407
SBS96A	65
SBS96A	3
SBS96A	1997
SBS96A	2888
SBS96A	1141
SBS96A	385
SBS96A	4270
SBS96A	5454
SBS96A	2245
SBS96A	649
SBS96A	1461
SBS96A	392
SBS96A	169
SBS96A	289
SBS96A	459
SBS96A	158
SBS96A	1370
SBS96A	1010
SBS96A	1103
SBS96A	62
SBS96A	57
SBS96A	40
SBS96A	785
SBS96A	21234
SBS96A	8256
SBS96A	2699
SBS96A	9283
SBS96A	375185
SBS96A	70182
SBS96A	22773
SBS96A	319349
SBS96A	199149
SBS96A	30936
SBS96A	21182
SBS96A	59011
SBS96A	1792
SBS96A	1076
SBS96A	544
SBS96A	1351
SBS96A	680
SBS96A	1995
SBS96A	1282
SBS96A	1945
SBS96A	1307
SBS96A	364
SBS96A	31
SBS96A	1326
SBS96B	1692
SBS96B	1384
SBS96B	290
SBS96B	884
SBS96B	62
SBS96B	357
SBS96B	212
SBS96B	136
SBS96B	5773
SBS96B	1541
SBS96B	9084
SBS96B	3205
SBS96B	639
SBS96B	400
SBS96B	818
SBS96B	1457
SBS96B	1447
SBS96B	300
SBS96B	423
SBS96B	2261
SBS96B	242
SBS96B	175
SBS96B	474
SBS96B	265
SBS96B	2359
SBS96B	480
SBS96B	600
SBS96B	1041
SBS96B	629
SBS96B	363
SBS96B	78
SBS96B	210
SBS96B	12431
SBS96B	2923
SBS96B	8708
SBS96B	7625
SBS96B	351
SBS96B	589
SBS96B	1192
SBS96B	999
SBS96B	472
SBS96B	901
SBS96B	269
SBS96B	370
SBS96B	82
SBS96B	157
SBS96B	400
SBS96B	409
SBS96B	1859
SBS96B	1107
SBS96B	257
SBS96B	1129
SBS96B	15
SBS96B	55
SBS96B	3
SBS96B	295
SBS96B	5128
SBS96B	1407
SBS96B	5677
SBS96B	4206
SBS96B	288
SBS96B	506
SBS96B	450
SBS96B	665
SBS96B	53
SBS96B	296
SBS96B	413
SBS96B	67
SBS96B	269
SBS96B	28
SBS96B	144
SBS96B	29
SBS96B	7287
SBS96B	3620
SBS96B	721
SBS96B	9102
SBS96B	22118
SBS96B	2029
SBS96B	941
SBS96B	30674
SBS96B	281549
SBS96B	57887
SBS96B	41054
SBS96B	160675
SBS96B	4625
SBS96B	352
SBS96B	522
SBS96B	1617
SBS96B	534
SBS96B	1706
SBS96B	401
SBS96B	783
SBS96B	686
SBS96B	409
SBS96B	843
SBS96B	1578
SBS96C	7228
SBS96C	3486
SBS96C	380
SBS96C	2700
SBS96C	2737
SBS96C	1960
SBS96C	46
SBS96C	2384
SBS96C	12964
SBS96C	7659
SBS96C	123643
SBS96C	10603
SBS96C	1527
SBS96C	690
SBS96C	1967
SBS96C	2658
SBS96C	780
SBS96C	2438
SBS96C	1897
SBS96C	5745
SBS96C	156
SBS96C	141
SBS96C	1105
SBS96C	738
SBS96C	0
SBS96C	2005
SBS96C	4
SBS96C	2598
SBS96C	1856
SBS96C	1057
SBS96C	1
SBS96C	1525
SBS96C	9433
SBS96C	8604
SBS96C	81652
SBS96C	8366
SBS96C	474
SBS96C	521
SBS96C	1093
SBS96C	1644
SBS96C	1382
SBS96C	1332
SBS96C	1924
SBS96C	3563
SBS96C	150
SBS96C	165
SBS96C	410
SBS96C	3016
SBS96C	8574
SBS96C	2233
SBS96C	1322
SBS96C	4086
SBS96C	1442
SBS96C	793
SBS96C	28
SBS96C	1260
SBS96C	14101
SBS96C	8185
SBS96C	84809
SBS96C	8379
SBS96C	1046
SBS96C	165
SBS96C	1272
SBS96C	814
SBS96C	808
SBS96C	1296
SBS96C	609
SBS96C	3241
SBS96C	596
SBS96C	51
SBS96C	146
SBS96C	4
SBS96C	3406
SBS96C	5033
SBS96C	1211
SBS96C	7148
SBS96C	7993
SBS96C	2212
SBS96C	0
SBS96C	1775
SBS96C	4708
SBS96C	6274
SBS96C	52835
SBS96C	3669
SBS96C	4064
SBS96C	165
SBS96C	1011
SBS96C	2794
SBS96C	1010
SBS96C	1076
SBS96C	565
SBS96C	3308
SBS96C	277
SBS96C	549
SBS96C	1692
SBS96C	2154
SBS96D	10810
SBS96D	8350
SBS96D	1472
SBS96D	6904
SBS96D	20956
SBS96D	11671
SBS96D	5988
SBS96D	19337
SBS96D	6316
SBS96D	1453
SBS96D	9967
SBS96D	6117
SBS96D	416
SBS96D	1935
SBS96D	3830
SBS96D	15
SBS96D	698
SBS96D	5408
SBS96D	5276
SBS96D	12264
SBS96D	294
SBS96D	1953
SBS96D	6549
SBS96D	4067
SBS96D	9567
SBS96D	9622
SBS96D	1251
SBS96D	8041
SBS96D	17559
SBS96D	14263
SBS96D	5030
SBS96D	22038
SBS96D	9296
SBS96D	2604
SBS96D	5949
SBS96D	6295
SBS96D	2793
SBS96D	7103
SBS96D	7820
SBS96D	7973
SBS96D	4417
SBS96D	9117
SBS96D	6927
SBS96D	10582
SBS96D	3587
SBS96D	4773
SBS96D	8616
SBS96D	33
SBS96D	1215
SBS96D	6498
SBS96D	168
SBS96D	5159
SBS96D	11113
SBS96D	8169
SBS96D	2250
SBS96D	15371
SBS96D	7425
SBS96D	221
SBS96D	457
SBS96D	2633
SBS96D	2368
SBS96D	3146
SBS96D	4235
SBS96D	6192
SBS96D	491
SBS96D	1719
SBS96D	1319
SBS96D	5327
SBS96D	3522
SBS96D	2047
SBS96D	5380
SBS96D	3449
SBS96D	3406
SBS96D	9937
SBS96D	54
SBS96D	931
SBS96D	5749
SBS96D	20047
SBS96D	1250
SBS96D	13409
SBS96D	4562
SBS96D	5724
SBS96D	2
SBS96D	4099
SBS96D	5658
SBS96D	6962
SBS96D	4079
SBS96D	9198
SBS96D	2153
SBS96D	9864
SBS96D	64
SBS96D	10958
SBS96D	928
SBS96D	4639
SBS96D	10077
SBS96D	4250
SBS96E	36447
SBS96E	7306
SBS96E	2557
SBS96E	13929
SBS96E	2476
SBS96E	1707
SBS96E	768
SBS96E	468
SBS96E	1505
SBS96E	443
SBS96E	3558
SBS96E	1336
SBS96E	1239
SBS96E	434
SBS96E	1113
SBS96E	4660
SBS96E	3746
SBS96E	196
SBS96E	732
SBS96E	3133
SBS96E	116
SBS96E	135
SBS96E	567
SBS96E	421
SBS96E	48821
SBS96E	9718
SBS96E	5920
SBS96E	21797
SBS96E	402
SBS96E	931
SBS96E	1062
SBS96E	303
SBS96E	3950
SBS96E	1551
SBS96E	3057
SBS96E	1334
SBS96E	599
SBS96E	1373
SBS96E	415
SBS96E	2133
SBS96E	1501
SBS96E	464
SBS96E	763
SBS96E	1349
SBS96E	356
SBS96E	11
SBS96E	185
SBS96E	2281
SBS96E	75994
SBS96E	12688
SBS96E	4502
SBS96E	38468
SBS96E	1099
SBS96E	715
SBS96E	419
SBS96E	560
SBS96E	1773
SBS96E	189
SBS96E	4161
SBS96E	1389
SBS96E	151
SBS96E	356
SBS96E	267
SBS96E	1632
SBS96E	750
SBS96E	65
SBS96E	27
SBS96E	296
SBS96E	324
SBS96E	55
SBS96E	308
SBS96E	112
SBS96E	42752
SBS96E	24356
SBS96E	5864
SBS96E	76033
SBS96E	313
SBS96E	626
SBS96E	167
SBS96E	3188
SBS96E	239
SBS96E	3154
SBS96E	3113
SBS96E	1850
SBS96E	2370
SBS96E	1776
SBS96E	854
SBS96E	3607
SBS96E	1981
SBS96E	860
SBS96E	1907
SBS96E	3487
SBS96E	373
SBS96E	288
SBS96E	1619
SBS96E	912
SBS96F	3173
SBS96F	3177
SBS96F	1050
SBS96F	1829
SBS96F	3002
SBS96F	3509
SBS96F	1067
SBS96F	1372
SBS96F	26773
SBS96F	21545
SBS96F	528
SBS96F	17699
SBS96F	1668
SBS96F	2167
SBS96F	1963
SBS96F	3803
SBS96F	2017
SBS96F	1997
SBS96F	1534
SBS96F	3531
SBS96F	1090
SBS96F	802
SBS96F	620
SBS96F	2205
SBS96F	5282
SBS96F	3277
SBS96F	1406
SBS96F	1149
SBS96F	1993
SBS96F	2793
SBS96F	2212
SBS96F	2168
SBS96F	33749
SBS96F	33625
SBS96F	5428
SBS96F	28371
SBS96F	507
SBS96F	978
SBS96F	267
SBS96F	499
SBS96F	496
SBS96F	654
SBS96F	21
SBS96F	536
SBS96F	567
SBS96F	345
SBS96F	497
SBS96F	196
SBS96F	2562
SBS96F	3009
SBS96F	1821
SBS96F	118
SBS96F	650
SBS96F	2059
SBS96F	396
SBS96F	847
SBS96F	22700
SBS96F	18126
SBS96F	83
SBS96F	15362
SBS96F	733
SBS96F	807
SBS96F	435
SBS96F	508
SBS96F	1444
SBS96F	2267
SBS96F	1086
SBS96F	4423
SBS96F	236
SBS96F	233
SBS96F	448
SBS96F	628
SBS96F	3859
SBS96F	5541
SBS96F	1063
SBS96F	434
SBS96F	2340
SBS96F	5680
SBS96F	311
SBS96F	7
SBS96F	2239
SBS96F	33198
SBS96F	1173
SBS96F	11730
SBS96F	363
SBS96F	1651
SBS96F	152
SBS96F	1864
SBS96F	470
SBS96F	109
SBS96F	950
SBS96F	1420
SBS96F	988
SBS96F	1473
SBS96F	51
SBS96F	505
SBS96G	6296
SBS96G	3132
SBS96G	105
SBS96G	1731
SBS96G	4911
SBS96G	4452
SBS96G	58
SBS96G	6024
SBS96G	3325
SBS96G	3140
SBS96G	9034
SBS96G	3319
SBS96G	5474
SBS96G	6131
SBS96G	3392
SBS96G	22395
SBS96G	2957
SBS96G	3063
SBS96G	3185
SBS96G	6535
SBS96G	1230
SBS96G	1842
SBS96G	2494
SBS96G	4042
SBS96G	12043
SBS96G	1759
SBS96G	862
SBS96G	13280
SBS96G	2274
SBS96G	1313
SBS96G	118
SBS96G	3506
SBS96G	6813
SBS96G	4532
SBS96G	7628
SBS96G	4001
SBS96G	1959
SBS96G	2144
SBS96G	1144
SBS96G	727
SBS96G	710
SBS96G	581
SBS96G	149
SBS96G	595
SBS96G	2648
SBS96G	2002
SBS96G	3260
SBS96G	562
SBS96G	12200
SBS96G	1302
SBS96G	890
SBS96G	7799
SBS96G	2139
SBS96G	2410
SBS96G	165
SBS96G	1519
SBS96G	696
SBS96G	805
SBS96G	1449
SBS96G	4100
SBS96G	1409
SBS96G	1411
SBS96G	946
SBS96G	1258
SBS96G	5187
SBS96G	3507
SBS96G	1942
SBS96G	5221
SBS96G	1164
SBS96G	912
SBS96G	1664
SBS96G	3197
SBS96G	8992
SBS96G	6160
SBS96G	618
SBS96G	14424
SBS96G	390
SBS96G	2298
SBS96G	774
SBS96G	1486
SBS96G	450
SBS96G	7190
SBS96G	4891
SBS96G	9579
SBS96G	29653
SBS96G	2581
SBS96G	2447
SBS96G	9352
SBS96G	406
SBS96G	6930
SBS96G	742
SBS96G	6574
SBS96G	303
SBS96G	2279
SBS96G	4926
SBS96G	3013
SBS96H	29
SBS96H	640
SBS96H	1
SBS96H	2481
SBS96H	344
SBS96H	10
SBS96H	21
SBS96H	638
SBS96H	14205
SBS96H	6133
SBS96H	17248
SBS96H	5874
SBS96H	991
SBS96H	1583
SBS96H	141
SBS96H	10567
SBS96H	7512
SBS96H	2570
SBS96H	11971
SBS96H	1947
SBS96H	106
SBS96H	311
SBS96H	223
SBS96H	844
SBS96H	6879
SBS96H	11422
SBS96H	2202
SBS96H	38392
SBS96H	2
SBS96H	2
SBS96H	22
SBS96H	26
SBS96H	3069
SBS96H	5055
SBS96H	13340
SBS96H	4478
SBS96H	188
SBS96H	1271
SBS96H	381
SBS96H	78
SBS96H	5913
SBS96H	3003
SBS96H	13332
SBS96H	4779
SBS96H	258
SBS96H	2012
SBS96H	1930
SBS96H	3313
SBS96H	1
SBS96H	1207
SBS96H	133
SBS96H	4461
SBS96H	144
SBS96H	491
SBS96H	30
SBS96H	496
SBS96H	19171
SBS96H	20197
SBS96H	15323
SBS96H	12330
SBS96H	153
SBS96H	891
SBS96H	414
SBS96H	1102
SBS96H	8447
SBS96H	1166
SBS96H	7957
SBS96H	3639
SBS96H	5
SBS96H	82
SBS96H	1
SBS96H	316
SBS96H	583
SBS96H	1500
SBS96H	141
SBS96H	7058
SBS96H	809
SBS96H	241
SBS96H	127
SBS96H	2419
SBS96H	6580
SBS96H	4085
SBS96H	6034
SBS96H	4946
SBS96H	2813
SBS96H	213
SBS96H	77
SBS96H	1440
SBS96H	6254
SBS96H	3609
SBS96H	6793
SBS96H	4562
SBS96H	15
SBS96H	166
SBS96H	311
SBS96H	276
SBS96I	20100
SBS96I	17135
SBS96I	1545
SBS96I	22369
SBS96I	5336
SBS96I	2219
SBS96I	870
SBS96I	3990
SBS96I	13869
SBS96I	3195
SBS96I	3175
SBS96I	13824
SBS96I	5610
SBS96I	4849
SBS96I	3946
SBS96I	8430
SBS96I	1126
SBS96I	3557
SBS96I	916
SBS96I	4292
SBS96I	2852
SBS96I	1346
SBS96I	3342
SBS96I	3660
SBS96I	9240
SBS96I	8236
SBS96I	128
SBS96I	8181
SBS96I	996
SBS96I	1087
SBS96I	471
SBS96I	709
SBS96I	164
SBS96I	872
SBS96I	1053
SBS96I	8378
SBS96I	3448
SBS96I	6432
SBS96I	2054
SBS96I	14162
SBS96I	711
SBS96I	5349
SBS96I	68
SBS96I	2446
SBS96I	12
SBS96I	368
SBS96I	1707
SBS96I	142
SBS96I	5120
SBS96I	4978
SBS96I	633
SBS96I	5427
SBS96I	1000
SBS96I	492
SBS96I	86
SBS96I	868
SBS96I	2861
SBS96I	341
SBS96I	796
SBS96I	3344
SBS96I	2341
SBS96I	3412
SBS96I	1580
SBS96I	8095
SBS96I	121
SBS96I	1138
SBS96I	352
SBS96I	532
SBS96I	516
SBS96I	61
SBS96I	2006
SBS96I	504
SBS96I	10562
SBS96I	8279
SBS96I	1027
SBS96I	1115
SBS96I	294
SBS96I	759
SBS96I	449
SBS96I	1421
SBS96I	3613
SBS96I	1405
SBS96I	45
SBS96I	5167
SBS96I	741
SBS96I	7772
SBS96I	2775
SBS96I	18395
SBS96I	3432
SBS96I	4161
SBS96I	594
SBS96I	3375
SBS96I	2671
SBS96I	2320
SBS96I	2190
SBS96I	5426
SBS96J	4250
SBS96J	3080
SBS96J	966
SBS96J	2441
SBS96J	2168
SBS96J	284
SBS96J	518
SBS96J	2546
SBS96J	2012
SBS96J	1470
SBS96J	839
SBS96J	2862
SBS96J	1692
SBS96J	1038
SBS96J	1256
SBS96J	1304
SBS96J	1541
SBS96J	1456
SBS96J	2574
SBS96J	2490
SBS96J	704
SBS96J	267
SBS96J	1088
SBS96J	919
SBS96J	1712
SBS96J	2975
SBS96J	841
SBS96J	1864
SBS96J	551
SBS96J	1361
SBS96J	755
SBS96J	3491
SBS96J	540
SBS96J	2254
SBS96J	383
SBS96J	4368
SBS96J	872
SBS96J	983
SBS96J	348
SBS96J	877
SBS96J	1602
SBS96J	805
SBS96J	1799
SBS96J	2492
SBS96J	518
SBS96J	949
SBS96J	915
SBS96J	151
SBS96J	190
SBS96J	2146
SBS96J	752
SBS96J	411
SBS96J	496
SBS96J	854
SBS96J	135
SBS96J	1063
SBS96J	197
SBS96J	1490
SBS96J	1858
SBS96J	1800
SBS96J	379
SBS96J	475
SBS96J	458
SBS96J	468
SBS96J	3099
SBS96J	608
SBS96J	770
SBS96J	2344
SBS96J	527
SBS96J	459
SBS96J	927
SBS96J	487
SBS96J	33690
SBS96J	17885
SBS96J	5249
SBS96J	23118
SBS96J	5347
SBS96J	1976
SBS96J	1453
SBS96J	102879
SBS96J	8097
SBS96J	8383
SBS96J	9398
SBS96J	29249
SBS96J	1024
SBS96J	349
SBS96J	326
SBS96J	1706
SBS96J	3216
SBS96J	1
SBS96J	55
SBS96J	1746
SBS96J	178
SBS96J	348
SBS96J	1301
SBS96J	287
SBS96K	652
SBS96K	1043
SBS96K	72
SBS96K	63
SBS96K	1552
SBS96K	1592
SBS96K	145
SBS96K	13
SBS96K	1578
SBS96K	906
SBS96K	7458
SBS96K	432
SBS96K	1303
SBS96K	1309
SBS96K	323
SBS96K	2386
SBS96K	19015
SBS96K	8399
SBS96K	13429
SBS96K	14774
SBS96K	550
SBS96K	666
SBS96K	451
SBS96K	1351
SBS96K	2119
SBS96K	2371
SBS96K	1216
SBS96K	105
SBS96K	441
SBS96K	549
SBS96K	311
SBS96K	181
SBS96K	427
SBS96K	210
SBS96K	3221
SBS96K	447
SBS96K	176
SBS96K	1116
SBS96K	164
SBS96K	1464
SBS96K	13293
SBS96K	9989
SBS96K	11700
SBS96K	12644
SBS96K	684
SBS96K	1244
SBS96K	1807
SBS96K	23
SBS96K	377
SBS96K	1048
SBS96K	558
SBS96K	0
SBS96K	576
SBS96K	592
SBS96K	50
SBS96K	458
SBS96K	1731
SBS96K	5811
SBS96K	13458
SBS96K	4082
SBS96K	297
SBS96K	1115
SBS96K	271
SBS96K	765
SBS96K	22713
SBS96K	11581
SBS96K	9241
SBS96K	19082
SBS96K	243
SBS96K	544
SBS96K	43
SBS96K	834
SBS96K	506
SBS96K	1388
SBS96K	606
SBS96K	531
SBS96K	1894
SBS96K	353
SBS96K	177
SBS96K	562
SBS96K	2906
SBS96K	1348
SBS96K	4038
SBS96K	2085
SBS96K	1521
SBS96K	1136
SBS96K	277
SBS96K	2654
SBS96K	20904
SBS96K	14047
SBS96K	1915
SBS96K	20472
SBS96K	622
SBS96K	744
SBS96K	1695
SBS96K	4281
SBS96L	3435
SBS96L	3422
SBS96L	1874
SBS96L	1432
SBS96L	609
SBS96L	442
SBS96L	522
SBS96L	68
SBS96L	1273
SBS96L	1179
SBS96L	1167
SBS96L	780
SBS96L	9534
SBS96L	5102
SBS96L	10694
SBS96L	8142
SBS96L	8576
SBS96L	651
SBS96L	4896
SBS96L	3537
SBS96L	1425
SBS96L	37
SBS96L	566
SBS96L	18
SBS96L	4041
SBS96L	5300
SBS96L	1856
SBS96L	1263
SBS96L	1692
SBS96L	1326
SBS96L	559
SBS96L	556
SBS96L	2067
SBS96L	1852
SBS96L	729
SBS96L	2377
SBS96L	12231
SBS96L	7486
SBS96L	18656
SBS96L	10266
SBS96L	4445
SBS96L	495
SBS96L	1239
SBS96L	2398
SBS96L	420
SBS96L	322
SBS96L	1435
SBS96L	2297
SBS96L	469
SBS96L	3063
SBS96L	1014
SBS96L	214
SBS96L	771
SBS96L	859
SBS96L	602
SBS96L	122
SBS96L	386
SBS96L	1256
SBS96L	172
SBS96L	1682
SBS96L	7720
SBS96L	2711
SBS96L	8607
SBS96L	3840
SBS96L	6517
SBS96L	784
SBS96L	1349
SBS96L	5452
SBS96L	543
SBS96L	176
SBS96L	1194
SBS96L	486
SBS96L	3504
SBS96L	4219
SBS96L	713
SBS96L	5868
SBS96L	2420
SBS96L	733
SBS96L	473
SBS96L	1883
SBS96L	815
SBS96L	846
SBS96L	657
SBS96L	855
SBS96L	10647
SBS96L	3819
SBS96L	8566
SBS96L	6708
SBS96L	7287
SBS96L	34
SBS96L	236
SBS96L	3855
SBS96L	1701
SBS96L	16
SBS96L	964
SBS96L	2211
SBS96M	5523
SBS96M	3112
SBS96M	1442
SBS96M	4253
SBS96M	776
SBS96M	138
SBS96M	360
SBS96M	6503
SBS96M	3435
SBS96M	2298
SBS96M	4157
SBS96M	4436
SBS96M	8172
SBS96M	2576
SBS96M	3756
SBS96M	5305
SBS96M	47242
SBS96M	2528
SBS96M	10220
SBS96M	24579
SBS96M	1139
SBS96M	360
SBS96M	711
SBS96M	1574
SBS96M	487
SBS96M	812
SBS96M	428
SBS96M	16
SBS96M	526
SBS96M	709
SBS96M	355
SBS96M	6026
SBS96M	1439
SBS96M	2299
SBS96M	1850
SBS96M	7335
SBS96M	1757
SBS96M	2401
SBS96M	780
SBS96M	2347
SBS96M	3710
SBS96M	752
SBS96M	1227
SBS96M	6406
SBS96M	640
SBS96M	293
SBS96M	273
SBS96M	77
SBS96M	3511
SBS96M	3641
SBS96M	1046
SBS96M	2832
SBS96M	392
SBS96M	761
SBS96M	310
SBS96M	2277
SBS96M	3613
SBS96M	2873
SBS96M	241
SBS96M	3383
SBS96M	389
SBS96M	267
